Player,PTS,Age,Usage Rate,AST,TRB,STL,BLK,3P%
Victor Oladipo,10.7,30.0,0.477,3.5,3.0,1.4,0.3,0.3
Victor Wembanyama,21.4,20.0,0.764,3.9,10.6,1.2,3.6,0.3
Vince Williams Jr.,10.0,23.0,0.37,3.4,5.6,0.9,0.7,0.4
Vit Krejci,4.5,22.0,0.268,1.6,2.2,0.5,0.2,0.3
Vlatko Cancar,5.0,25.0,0.318,1.3,2.1,0.4,0.2,0.4
Walker Kessler,8.6,21.5,0.314,0.9,8.0,0.4,2.3,0.3
Wayne Ellington,6.7,34.0,0.321,0.7,1.8,0.5,0.1,0.4
Wendell Carter Jr.,13.7,23.0,0.451,2.3,8.7,0.6,0.6,0.4
Wendell Moore Jr.,1.0,21.5,0.32,0.4,0.6,0.2,0.1,0.1
Wenyen Gabriel,5.4,24.5,0.362,0.5,4.0,0.3,0.4,0.3
Wesley Matthews,3.9,36.0,0.249,0.7,1.9,0.4,0.3,0.3
Will Barton,9.7,31.7,0.456,2.8,3.3,0.6,0.3,0.4
Willie Cauley-Stein,1.7,28.0,0.244,0.5,2.0,0.3,0.2,0.5
Willy Hernangómez,8.0,27.5,0.53,1.1,5.8,0.4,0.4,0.3
Xavier Tillman Sr.,5.4,24.4,0.346,1.4,3.8,0.9,0.6,0.2
Yuta Watanabe,4.2,28.2,0.324,0.5,2.0,0.4,0.3,0.4
Zach Collins,10.2,25.0,0.501,2.6,5.8,0.5,0.8,0.3
Zach LaVine,22.9,27.0,0.612,4.2,4.8,0.8,0.3,0.4
Zeke Nnaji,5.0,22.0,0.353,0.4,2.8,0.3,0.5,0.3
Ziaire Williams,7.3,21.0,0.416,1.1,2.6,0.6,0.2,0.3
Zion Williamson,24.4,22.5,0.697,4.8,6.4,1.1,0.6,0.4
